"AHRondelPosition","ITRondelPosition","FRRondelPosition","GBRondelPosition","GERondelPosition","RURondelPosition","AHPowerPoints","ITPowerPoints","FRPowerPoints","GBPowerPoints","GEPowerPoints","RUPowerPoints","NumberOfAvailableBonds","Cash","RawScore","NumberOfOwnedBonds","annotation"
7,7,7,3,6,2,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,2,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,2,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,3,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,3,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,3,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,3,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,3,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,7,3,0,1,0,0,0,0,39,0,0,9,5
0,7,7,3,7,3,1,1,0,0,0,0,39,1,0,9,4
0,2,7,3,7,3,1,1,0,0,0,0,39,1,0,9,4
0,2,0,3,7,3,1,1,1,0,0,0,39,2,0,9,3
0,2,0,5,7,3,1,1,1,0,0,0,39,2,0,9,3
0,2,0,5,7,3,1,1,1,0,0,0,39,4,0,9,2
0,2,0,5,7,3,1,1,1,0,0,0,39,0,0,9,5
0,2,0,5,0,3,1,1,1,0,1,0,39,1,0,9,4
0,2,0,5,0,4,1,1,1,0,1,0,39,1,0,9,4
0,2,0,5,0,4,1,1,1,0,1,0,38,1,0,9,4
1,2,0,5,0,4,1,1,1,0,1,0,38,1,0,9,4
1,2,0,5,0,4,1,1,1,0,1,0,38,1,0,9,4
1,5,0,5,0,4,1,1,1,0,1,0,38,1,0,9,4
1,5,0,5,0,4,1,1,1,0,1,0,38,3,0,9,3
1,5,0,5,0,4,1,1,1,0,1,0,38,0,0,9,5
1,5,2,5,0,4,1,1,1,0,1,0,38,0,0,9,5
1,5,2,7,0,4,1,1,1,0,1,0,38,0,0,9,5
1,5,2,7,0,4,1,1,1,0,1,0,38,0,0,9,5
1,5,2,7,0,4,1,1,1,0,1,0,38,0,0,9,8
1,5,2,7,0,4,1,1,1,0,1,0,38,0,0,9,5
1,5,2,7,2,4,1,1,1,0,1,0,38,0,0,9,5
1,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,5
1,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
1,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
1,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
1,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
1,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
1,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
2,5,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
2,6,2,7,2,7,1,1,1,0,1,0,38,0,0,9,10
2,6,3,7,2,7,1,1,1,0,1,0,38,0,0,9,10
2,6,3,7,2,7,1,1,1,0,1,0,38,0,0,9,10
2,6,3,1,2,7,1,1,1,0,1,0,38,0,0,9,10
2,6,3,1,2,7,1,1,1,0,1,0,38,0,0,9,10
2,6,3,1,3,7,1,1,1,0,1,0,38,0,0,9,10
2,6,3,1,3,7,1,1,1,0,1,0,38,0,0,9,10
2,6,3,1,3,0,1,1,1,0,1,1,38,0,0,9,10
3,6,3,1,3,0,1,1,1,0,1,1,38,0,0,9,10
3,6,3,1,3,0,1,1,1,0,1,1,38,0,0,9,10
3,0,3,1,3,0,1,2,1,0,1,1,38,0,0,9,10
3,0,4,1,3,0,1,2,1,0,1,1,38,0,0,9,10
3,0,4,1,3,0,1,2,1,0,1,1,38,0,0,9,10
3,0,4,2,3,0,1,2,1,0,1,1,38,0,0,9,10
3,0,4,2,4,0,1,2,1,0,1,1,38,3,0,9,10
3,0,4,2,4,0,1,2,1,0,1,1,38,0,0,9,5
3,0,4,2,4,1,1,2,1,0,1,1,38,0,0,9,5
3,0,4,2,4,1,1,2,1,0,1,1,38,0,0,9,5
4,0,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,0,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,4,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,5,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,5,2,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,5,3,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,5,3,4,1,1,2,1,0,1,1,38,19,0,9,1
4,3,5,3,5,1,1,2,1,0,1,1,38,19,0,9,1
4,3,5,3,5,1,1,2,1,0,1,1,38,19,0,9,1
4,3,5,3,5,2,1,2,1,0,1,1,38,19,0,9,1
5,3,5,3,5,2,1,2,1,0,1,1,38,19,0,9,1
5,3,5,3,5,2,1,2,1,0,1,1,38,19,0,9,1
5,6,5,3,5,2,1,2,1,0,1,1,38,21,0,9,1
5,6,5,3,5,2,1,2,1,0,1,1,38,0,0,9,5
5,6,6,3,5,2,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,5,2,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,5,2,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,5,2,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,2,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
5,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
6,6,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,5
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,6,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,7,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,7,5,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,7,6,6,3,1,2,1,0,1,1,38,0,0,9,7
6,7,7,6,7,3,1,2,1,0,1,1,38,0,0,9,7
6,7,7,6,7,3,1,2,1,0,1,1,38,0,0,9,7
6,7,7,6,7,5,1,2,1,0,1,1,38,0,0,9,7
6,7,7,6,7,5,1,2,1,0,1,1,38,2,0,9,5
6,7,7,6,7,5,1,2,1,0,1,1,38,0,0,9,7
7,7,7,6,7,5,1,2,1,0,1,1,38,0,0,9,7
7,7,7,6,7,5,1,2,1,0,1,1,38,0,0,9,8
7,0,7,6,7,5,1,3,1,0,1,1,38,0,0,9,5
7,0,0,6,7,5,1,3,2,0,1,1,38,0,0,9,5
7,0,0,7,7,5,1,3,2,0,1,1,38,0,0,9,5
7,0,0,7,7,5,1,3,2,0,1,1,38,0,0,9,5
7,0,0,7,7,5,1,3,2,0,1,1,38,0,0,9,5
7,0,0,7,7,5,1,3,2,0,1,1,38,0,0,9,5
7,0,0,7,0,5,1,3,2,0,2,1,38,0,0,9,5
7,0,0,7,0,6,1,3,2,0,2,1,38,0,0,9,5
0,0,0,7,0,6,4,3,2,0,2,1,38,2,0,9,3
0,1,0,7,0,6,4,3,2,0,2,1,38,2,0,9,3
0,1,0,7,0,6,4,3,2,0,2,1,38,2,0,9,3
0,1,2,7,0,6,4,3,2,0,2,1,38,2,0,9,4
0,1,2,1,0,6,4,3,2,0,2,1,38,2,0,9,4
0,1,2,1,0,6,4,3,2,0,2,1,38,2,0,9,4
0,1,2,1,2,6,4,3,2,0,2,1,38,2,0,9,4
0,1,2,1,2,0,4,3,2,0,2,4,38,2,0,9,6
1,1,2,1,2,0,4,3,2,0,2,4,38,2,0,9,4
1,1,2,1,2,0,4,3,2,0,2,4,38,2,0,9,4
1,5,2,1,2,0,4,3,2,0,2,4,38,2,0,9,4
1,5,2,1,2,0,4,3,2,0,2,4,38,2,0,9,4
1,5,2,1,2,0,4,3,2,0,2,4,38,2,0,9,4
1,5,3,1,2,0,4,3,2,0,2,4,38,2,0,9,4
1,5,3,1,2,0,4,3,2,0,2,4,38,2,0,9,4
1,5,3,5,2,0,4,3,2,0,2,4,38,2,0,9,4
1,5,3,5,2,0,4,3,2,0,2,4,38,4,0,9,3
1,5,3,5,2,0,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,0,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,0,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,6
1,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,6
2,5,3,5,3,3,4,3,2,0,2,4,38,0,0,9,10
2,0,3,5,3,3,4,6,2,0,2,4,38,0,1,9,5
2,0,4,5,3,3,4,6,2,0,2,4,38,0,1,9,6
2,0,4,5,3,3,4,6,2,0,2,4,38,0,1,9,6
2,0,4,0,3,3,4,6,2,1,2,4,38,0,1,9,6
2,0,4,0,4,3,4,6,2,1,2,4,38,2,1,9,6
2,0,4,0,4,3,4,6,2,1,2,4,38,0,1,9,6
2,0,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
2,0,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,0,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,0,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,4,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,0,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,3,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,3,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,3,4,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,3,5,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,3,5,6,4,6,2,1,2,4,38,0,1,9,6
3,3,5,3,5,0,4,6,2,1,2,7,38,0,1,9,6
4,3,5,3,5,0,4,6,2,1,2,7,38,30,1,9,1
4,3,5,3,5,0,4,6,2,1,2,7,37,0,1,10,6
4,4,5,3,5,0,4,6,2,1,2,7,37,1,1,10,5
4,4,5,3,5,0,4,6,2,1,2,7,36,1,1,10,5
4,4,6,3,5,0,4,6,2,1,2,7,36,1,1,10,5
4,4,6,4,5,0,4,6,2,1,2,7,36,3,1,10,3
4,4,6,4,5,0,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,0,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,5
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,7
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
4,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,4,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,6,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,7,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,7,4,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,7,7,6,3,4,6,2,1,2,7,35,1,1,11,4
5,7,7,7,6,3,4,6,2,1,2,7,35,1,1,11,10
5,7,7,7,6,3,4,6,2,1,2,7,35,1,1,11,10
5,7,7,7,6,3,4,6,2,1,2,7,35,1,1,11,10
5,7,7,7,7,3,4,6,2,1,2,7,35,1,1,11,10
5,7,7,7,7,3,4,6,2,1,2,7,35,1,1,11,10
5,7,7,7,7,4,4,6,2,1,2,7,35,1,1,11,10
5,7,7,7,7,4,4,6,2,1,2,7,34,1,1,11,10
6,7,7,7,7,4,4,6,2,1,2,7,34,1,1,11,10
6,4,7,7,7,4,4,6,2,1,2,7,34,3,1,11,10
6,4,7,7,7,4,4,6,2,1,2,7,34,0,1,11,10
6,4,0,7,7,4,4,6,3,1,2,7,34,0,1,11,10
6,4,0,1,7,4,4,6,3,1,2,7,34,0,1,11,10
6,4,0,1,7,4,4,6,3,1,2,7,34,0,1,11,10
6,4,0,1,0,4,4,6,3,1,3,7,34,0,1,11,10
6,4,0,1,0,5,4,6,3,1,3,7,34,0,1,11,10
6,4,0,1,0,5,4,6,3,1,3,7,34,0,1,11,10
7,4,0,1,0,5,4,6,3,1,3,7,34,0,1,11,10
7,4,0,1,0,5,4,6,3,1,3,7,34,0,1,11,10
7,5,0,1,0,5,4,6,3,1,3,7,34,0,1,11,10
7,5,0,1,0,5,4,6,3,1,3,7,34,0,1,11,10
7,5,2,1,0,5,4,6,3,1,3,7,34,0,1,11,10
7,5,2,4,0,5,4,6,3,1,3,7,34,0,1,11,10
7,5,2,4,0,5,4,6,3,1,3,7,34,0,1,11,10
7,5,2,4,2,5,4,6,3,1,3,7,34,0,1,11,10
7,5,2,4,2,0,4,6,3,1,3,11,34,0,1,11,10
0,5,2,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,2,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,2,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,2,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,2,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,2,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,4,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,7,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,7,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,7,2,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,7,3,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,7,3,0,9,6,3,1,3,11,34,2,40,11,7
0,7,3,7,3,2,9,6,3,1,3,11,34,2,40,11,7
1,7,3,7,3,2,9,6,3,1,3,11,34,2,40,11,7
1,7,3,7,3,2,9,6,3,1,3,11,34,2,40,11,7
1,0,3,7,3,2,9,9,3,1,3,11,34,2,40,11,7
1,0,4,7,3,2,9,9,3,1,3,11,34,4,40,11,5
1,0,4,7,3,2,9,9,3,1,3,11,33,0,42,12,7
1,0,4,4,3,2,9,9,3,1,3,11,33,0,42,12,7
1,0,4,4,3,2,9,9,3,1,3,11,32,0,42,12,7
1,0,4,4,4,2,9,9,3,1,3,11,32,4,42,12,3
1,0,4,4,4,2,9,9,3,1,3,11,32,1,43,12,5
1,0,4,4,4,6,9,9,3,1,3,11,32,1,43,12,5
1,0,4,4,4,6,9,9,3,1,3,11,32,1,43,12,5
2,0,4,4,4,6,9,9,3,1,3,11,32,1,43,12,5
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,5
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,5
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,5
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,8
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,6
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,8
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,8
2,3,4,4,4,6,9,9,3,1,3,11,32,1,43,12,8
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,8
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,4,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,4,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,6,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
2,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
3,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
3,3,7,7,5,7,9,9,3,1,3,11,32,1,43,12,10
3,4,7,7,5,7,9,9,3,1,3,11,32,4,43,12,10
3,4,7,7,5,7,9,9,3,1,3,11,32,0,45,12,10
3,4,0,7,5,7,9,9,5,1,3,11,32,0,49,12,10
3,4,0,2,5,7,9,9,5,1,3,11,32,0,49,12,10
3,4,0,2,6,7,9,9,5,1,3,11,32,0,49,12,10
3,4,0,2,6,2,9,9,5,1,3,11,32,0,49,12,10
4,4,0,2,6,2,9,9,5,1,3,11,32,44,49,12,8
4,4,0,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,0,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,0,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,2,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,3,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,3,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,3,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,3,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,3,6,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,3,7,2,9,9,5,1,3,11,31,44,49,12,8
4,5,3,3,7,2,9,9,5,1,3,11,31,44,49,12,9
4,5,3,3,7,5,9,9,5,1,3,11,31,44,49,12,9
4,5,3,3,7,5,9,9,5,1,3,11,31,46,49,12,9
4,5,3,3,7,5,9,9,5,1,3,11,30,44,50,13,9
5,5,3,3,7,5,9,9,5,1,3,11,30,44,50,13,9
5,5,3,3,7,5,9,9,5,1,3,11,30,44,50,13,9
5,6,3,3,7,5,9,9,5,1,3,11,30,44,50,13,9
5,6,4,3,7,5,9,9,5,1,3,11,30,48,50,13,8
5,6,4,3,7,5,9,9,5,1,3,11,30,48,50,13,8
5,6,4,4,7,5,9,9,5,1,3,11,30,50,50,13,6
5,6,4,4,7,5,9,9,5,1,3,11,29,46,52,14,8
5,6,4,4,0,5,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
5,6,4,4,0,7,9,9,5,1,4,11,29,46,52,14,8
